,PORTFOLIOCODE,HISTORYDATE,CURRENCYCODE,CURRENCY,PERFORMANCECATEGORY,PERFORMANCECATEGORYNAME,PERFORMANCETYPE,PERFORMANCEINCEPTIONDATE,PORTFOLIOINCEPTIONDATE,PERFORMANCEFREQUENCY,PERFORMANCEFACTOR
0,PORT001,2025-01-13,USD,US Dollar,Asset Class,Total Portfolio,Portfolio Gross,2025-01-10,2025-01-10,D,-0.0011359593645907662
1,PORT001,2025-01-13,USD,US Dollar,Asset Class,Total Portfolio,Portfolio Net,2025-01-10,2025-01-10,D,-0.0011359593645907662
2,PORT001,2025-01-14,USD,US Dollar,Asset Class,Total Portfolio,Portfolio Gross,2025-01-13,2025-01-10,D,0.003790765149775055
3,PORT001,2025-01-14,USD,US Dollar,Asset Class,Total Portfolio,Portfolio Net,2025-01-13,2025-01-10,D,0.003790765149775055
4,PORT001,2025-01-15,USD,US Dollar,Asset Class,Total Portfolio,Portfolio Gross,2025-01-14,2025-01-10,D,0.015105726036447331
5,PORT001,2025-01-15,USD,US Dollar,Asset Class,Total Portfolio,Portfolio Net,2025-01-14,2025-01-10,D,0.015105726036447331
6,PORT001,2025-01-16,USD,US Dollar,Asset Class,Total Portfolio,Portfolio Gross,2025-01-15,2025-01-10,D,0.0011160970082653154
7,PORT001,2025-01-16,USD,US Dollar,Asset Class,Total Portfolio,Portfolio Net,2025-01-15,2025-01-10,D,0.0011160970082653154
8,PORT001,2025-01-17,USD,US Dollar,Asset Class,Total Portfolio,Portfolio Gross,2025-01-16,2025-01-10,D,0.00668897458923956
9,PORT001,2025-01-17,USD,US Dollar,Asset Class,Total Portfolio,Portfolio Net,2025-01-16,2025-01-10,D,0.00668897458923956
10,PORT001,2025-01-21,USD,US Dollar,Asset Class,Total Portfolio,Portfolio Gross,2025-01-17,2025-01-10,D,0.011074168895192527
11,PORT001,2025-01-21,USD,US Dollar,Asset Class,Total Portfolio,Portfolio Net,2025-01-17,2025-01-10,D,0.011074168895192527
12,PORT001,2025-01-22,USD,US Dollar,Asset Class,Total Portfolio,Portfolio Gross,2025-01-21,2025-01-10,D,0.0025556661695536054
13,PORT001,2025-01-22,USD,US Dollar,Asset Class,Total Portfolio,Portfolio Net,2025-01-21,2025-01-10,D,0.0025556661695536054
14,PORT001,2025-01-23,USD,US Dollar,Asset Class,Total Portfolio,Portfolio Gross,2025-01-22,2025-01-10,D,0.004370023424409064
15,PORT001,2025-01-23,USD,US Dollar,Asset Class,Total Portfolio,Portfolio Net,2025-01-22,2025-01-10,D,0.004370023424409064
16,PORT001,2025-01-24,USD,US Dollar,Asset Class,Total Portfolio,Portfolio Gross,2025-01-23,2025-01-10,D,0.00036258988069248765
17,PORT001,2025-01-24,USD,US Dollar,Asset Class,Total Portfolio,Portfolio Net,2025-01-23,2025-01-10,D,0.00036258988069248765
18,PORT001,2025-01-27,USD,US Dollar,Asset Class,Total Portfolio,Portfolio Gross,2025-01-24,2025-01-10,D,-0.0097861709412983
19,PORT001,2025-01-27,USD,US Dollar,Asset Class,Total Portfolio,Portfolio Net,2025-01-24,2025-01-10,D,-0.0097861709412983
20,PORT001,2025-01-28,USD,US Dollar,Asset Class,Total Portfolio,Portfolio Gross,2025-01-27,2025-01-10,D,0.005856509853564118
21,PORT001,2025-01-28,USD,US Dollar,Asset Class,Total Portfolio,Portfolio Net,2025-01-27,2025-01-10,D,0.005856509853564118
22,PORT001,2025-01-29,USD,US Dollar,Asset Class,Total Portfolio,Portfolio Gross,2025-01-28,2025-01-10,D,-0.0025472960695152036
